Gene,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,cond9,cond10,cond11,cond12,cond13,cond14,cond15,cond16,cond17
YAL001C,161,110,139,139,161,139,110,161,161,110,161,195,220,139,139,139,161
YAL002W,208,139,69,110,139,110,139,161,161,110,139,139,179,139,161,139,110
YAL003W,425,429,451,423,465,395,472,448,416,507,466,464,432,463,494,458,484
YAL004W,289,248,220,161,161,110,179,139,139,110,110,161,161,139,161,139,179
YAL005C,366,364,340,256,283,208,240,208,195,208,179,208,208,195,220,208,264
YAL007C,271,300,347,300,304,294,337,294,277,309,300,326,314,309,322,277,283
YAL009W,179,69,139,110,161,110,161,161,161,110,139,179,179,139,139,110,161
YAL010C,240,179,139,161,179,139,195,208,195,139,161,179,195,161,179,179,179
YAL011W,179,161,139,139,208,161,208,208,179,179,161,179,179,195,179,161,179
YAL012W,337,326,322,330,397,326,376,358,322,333,314,333,343,337,353,314,337
YAL013W,195,220,179,161,264,179,248,264,230,220,220,220,230,220,208,179,230
YAL015C,294,289,264,230,264,248,283,283,264,256,240,256,277,240,264,248,256
YAL016W,271,300,300,462,300,300,340,309,289,294,289,300,304,304,314,277,277
YAL017W,264,110,110,139,208,161,179,179,161,161,208,220,230,179,161,139,195
YAL018C,139,69,69,69,0,0,69,69,69,0,69,0,69,69,0,69,0
YAL019W,264,248,264,230,264,230,271,264,240,208,230,240,240,195,208,179,220
YAL020C,179,110,139,110,110,69,110,110,69,69,69,110,110,110,69,69,110
YAL021C,277,264,277,264,283,248,300,277,283,248,271,289,294,256,277,248,248
YAL022C,264,256,277,240,230,248,340,343,343,304,304,294,283,294,330,330,340
YAL023C,304,333,369,347,340,322,353,330,314,318,330,347,347,326,340,304,294
YAL025C,277,353,353,309,340,330,381,347,314,294,294,309,322,326,322,277,322
YAL026C,161,161,161,378,179,179,220,179,195,179,161,179,208,179,179,161,161
YAL027W,240,161,179,179,195,161,220,208,195,139,179,195,195,179,195,179,195
YAL028W,161,0,0,69,110,69,110,69,69,0,69,69,69,69,69,0,69
YAL029C,350,353,314,318,361,330,376,369,350,330,356,361,350,343,353,350,350
YAL030W,358,300,294,289,322,283,347,314,309,347,326,333,322,326,350,322,309
YAL031C,220,139,161,179,195,161,195,179,179,179,179,179,208,179,195,195,179
YAL033W,271,283,300,283,289,256,314,304,283,240,248,271,271,264,294,248,289
YAL034W-A,110,139,195,161,161,139,161,110,69,110,139,179,179,110,110,69,69
YAL035C-A,0,110,110,69,110,69,110,69,69,69,69,110,110,69,69,0,69
